# Time-averaged data for fix 1
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
222 1254.98 27.7154 45854.1 -39.9286 6.65097
223 1247.02 24.1552 45846.1 -39.9355 6.6088
224 1241.24 20.2017 45838.2 -39.9534 6.57815
225 1237.56 15.8723 45830.4 -39.9821 6.55867
226 1235.85 11.1677 45822.7 -40.0207 6.54957
227 1235.87 6.05256 45815 -40.0682 6.5497
228 1237.36 0.72815 45807.3 -40.1232 6.5576
229 1239.96 -3.76326 45799.7 -40.1839 6.57137
230 1243.28 -7.97321 45792.1 -40.2483 6.58895
231 1246.95 -11.8451 45784.4 -40.3143 6.60843
232 1250.66 -15.2587 45776.8 -40.3804 6.62808
233 1254.13 -18.5341 45769.1 -40.445 6.64646
234 1257.16 -22.1101 45761.3 -40.5071 6.66251
235 1259.57 -24.9853 45753.5 -40.5658 6.67528
236 1261.2 -27.0729 45745.6 -40.6201 6.68393
237 1261.92 -28.2736 45737.6 -40.6694 6.68777
238 1261.65 -28.5711 45729.5 -40.7131 6.68632
239 1260.32 -28.6611 45721.4 -40.7509 6.67928
240 1257.91 -28.0112 45713.1 -40.7827 6.66652
241 1254.25 -28.3212 45704.8 -40.8075 6.64711
242 1249.24 -27.6128 45696.4 -40.8245 6.62053
243 1243.03 -26.9733 45687.9 -40.8348 6.58762
244 1235.77 -25.9301 45679.3 -40.839 6.54914
245 1227.53 -24.3043 45670.6 -40.8374 6.50548
246 1218.33 -21.8093 45661.9 -40.8302 6.45673
247 1208.14 -18.205 45653.1 -40.8171 6.40273
248 1196.85 -13.2075 45644.2 -40.7976 6.34293
249 1184.3 -6.28279 45635.3 -40.7706 6.27638
250 1170.17 3.23345 45626.4 -40.7346 6.20153
251 1154.71 9.72233 45617.5 -40.6903 6.11957
252 1138.35 16.5653 45608.7 -40.6404 6.03287
253 1121.22 23.4666 45600 -40.5854 5.94208
254 1103.51 28.7963 45591.3 -40.5265 5.84824
255 1085.43 34.1066 45582.8 -40.4647 5.75242
256 1067.12 39.3465 45574.4 -40.4006 5.65536
257 1048.73 44.4867 45566.1 -40.3352 5.55789
258 1030.42 49.5071 45558 -40.2692 5.46091
259 1012.39 54.4317 45550.1 -40.2037 5.36532
260 994.773 58.3524 45542.4 -40.1395 5.27196
261 977.724 62.024 45535 -40.0774 5.18161
262 961.416 65.8325 45527.7 -40.0182 5.09518
263 946.03 69.8185 45520.8 -39.9631 5.01364
264 931.743 74.0086 45514 -39.913 4.93793
265 918.727 78.4109 45507.6 -39.8688 4.86895
266 907.141 83.0134 45501.4 -39.8315 4.80754
267 897.126 87.7919 45495.5 -39.8017 4.75447
268 888.801 92.5746 45490 -39.7803 4.71035
269 882.224 96.4413 45484.8 -39.7676 4.67549
270 877.492 98.4866 45480 -39.7641 4.65041
271 874.68 100.402 45475.5 -39.7703 4.63551
272 873.713 102.535 45471.4 -39.7859 4.63039
273 874.405 105.207 45467.6 -39.8099 4.63405
274 876.441 108.874 45464.3 -39.8408 4.64485
275 879.357 114.205 45461.3 -39.8762 4.6603
276 882.999 117.383 45458.8 -39.9143 4.6796
277 887.517 118.898 45456.7 -39.9573 4.70354
278 892.839 120.116 45455 -40.0044 4.73175
279 898.753 121.014 45453.7 -40.0543 4.76309
280 905.053 121.568 45452.9 -40.1061 4.79648
281 911.552 121.758 45452.6 -40.1587 4.83092
282 918.086 121.599 45452.7 -40.2113 4.86555
283 924.536 121.41 45453.2 -40.2631 4.89973
284 930.81 120.857 45454.1 -40.3139 4.93298
285 936.845 119.985 45455.6 -40.3631 4.96496
286 942.604 118.878 45457.4 -40.4107 4.99549
287 948.075 117.664 45459.7 -40.4565 5.02448
288 953.257 116.527 45462.4 -40.5006 5.05195
289 958.305 113.891 45465.5 -40.5435 5.0787
290 963.424 109.259 45469.1 -40.5868 5.10583
291 968.729 103.687 45473 -40.6307 5.13394
292 974.385 98.0875 45477.4 -40.6762 5.16391
293 980.578 92.1505 45482.1 -40.7244 5.19674
294 987.167 82.6061 45487.1 -40.7742 5.23165
295 994.198 74.7533 45492.5 -40.8261 5.26892
296 1002.16 67.98 45498.1 -40.8828 5.31114
297 1011.43 61.7972 45504 -40.9462 5.36026
298 1022.26 55.8356 45510.1 -41.0177 5.41761
299 1034.79 49.8319 45516.4 -41.0981 5.48406
300 1049.13 43.6128 45522.9 -41.1879 5.56003
301 1065.28 37.077 45529.6 -41.2872 5.64562
302 1083.21 30.1774 45536.4 -41.3959 5.74066
